date,retail_sales,gold_price,gold_price_mom,gold_price_yoy,gold_volatility_1m,gold_volatility_3m,gold_price_30d_avg,gold_price_90d_avg,gold_price_180d_avg,gold_trend,oil_price,oil_price_mom,oil_price_yoy,oil_volatility_1m,oil_volatility_3m,oil_price_30d_avg,oil_price_90d_avg,oil_price_180d_avg,oil_momentum,gdp_growth,inflation,interest_rate,unemployment
2003-03-01,,16681.050000000003,-2.5609759759546713,16.16944619202342,1533.1242292685624,1337.72007426575,14015.562,12813.232605000001,11357.46175788889,2658.1002421111098,28.8250392857142,-7.931873912911936,23.65954219525612,3.513587175126825,,24.964921996125963,,,,,,,
2003-03-31,,16222.86,-5.346678149089468,13.205200938697836,1548.5506824729416,1360.124140624349,14076.667,12826.742715555556,11386.155981222224,2690.5110187777755,26.519815476190402,-11.963233288559422,10.202057628299858,3.4348018968405647,,24.860165190570406,,,,,,,
2003-04-01,,15884.57,-4.758606407185217,9.097285587951141,1545.1670054706815,1373.710327785868,14127.294166666667,12837.161485555556,11412.643085055557,2714.6510816111095,24.2145916666666,-15.994592664206907,-3.2554269386564028,3.356016618554304,,24.75540838501485,,,,,,,
2003-04-30,,15546.28,-4.170534665280967,4.989370237204449,1541.7833284684216,1387.296514947387,14177.921333333334,12847.580255555557,11439.13018888889,2738.7911444444435,24.6017353070175,-6.39849323981826,-1.6396884689347913,3.252092576701563,,24.656446007622506,,,,,,,
2003-05-01,,16148.244999999999,1.7868165356546895,6.853069510315179,1558.2774140239271,1416.2023397911319,14249.7385,12865.156770000001,11468.954877111111,2780.783622888889,24.9888789473684,3.1976061845703896,-0.0239499992131797,3.148168534848822,,24.557483630230163,,,,,,,
2003-05-30,,16750.21,7.744167736590346,8.716768783425909,1574.7714995794324,1445.1081646348766,14321.555666666667,12882.733284444445,11498.779565333334,2822.7761013333347,25.7074019736842,4.4741742837226095,4.923435017029076,3.1521213819686595,,24.610415713563498,,,,,,,
2003-06-01,,16697.295,3.556177381152631,7.2989621445824096,1586.7914069882167,1471.1978720389143,14387.461166666668,12900.227351111113,11528.365071166667,2859.096095500001,26.425925,5.750742382874829,9.870820033271333,3.1560742290884964,,24.663347796896836,,,,,,,
2003-06-30,,16644.38,-0.6318129742850842,5.881155505738911,1598.8113143970013,1497.287579442952,14453.366666666669,12917.72141777778,11557.950577,2895.416089666667,26.9421875,4.828992493246154,9.452759473425553,3.1750924156543503,,24.720655296896833,,,,,,,
2003-07-01,,16432.795,-1.5871163489697804,6.030737888602545,1589.108622047945,1517.1341034025495,14517.850000000002,12934.369395555557,11586.351776777778,2931.498223222223,27.45845,3.907242603617478,9.034698913579774,3.1941106022202046,,24.77796279689683,,,,,,,
2003-07-31,,16221.21,-2.5424197236544765,6.180320271466178,1579.4059296988885,1536.9806273621468,14582.333333333334,12951.017373333334,11614.752976555556,2967.5803567777784,28.061024404761902,4.148116638442456,9.947037676209957,3.2302532976879785,,24.82368944372223,,,,,,,
2003-08-01,,16370.439999999999,-0.35124149941777594,7.883731514077652,1564.881445969318,1559.5486415928463,14654.631333333333,12972.040295,11643.704471833335,3010.9268615,28.6635988095238,4.388990673267434,10.85937643884014,3.266395993155752,,24.869416090547627,,,,,,,
2003-08-29,,16519.67,1.839936724818925,9.587142756689126,1550.3569622397476,1582.1166558235454,14726.929333333332,12993.063216666667,11672.655967111112,3054.2733662222217,27.464408495670952,-1.9891744175438602,3.1928927822683697,3.268104476610967,,24.910169726911256,,,,,,,
2003-09-01,,16942.339999999997,3.4785545811414353,10.96512856364169,1550.4233092514548,1614.3599062927588,14811.990999999998,13020.460497777778,11704.087346083332,3107.9036539166673,26.2652181818181,-8.367339508355155,-4.473590874303401,3.2698129600661816,,24.95092336327489,,,,,,,
2003-09-30,,17365.01,5.117172437463946,12.343114370594254,1550.489656263162,1646.6031567619718,14897.052666666666,13047.857778888889,11735.518725055554,3161.533941611113,27.35758124999995,-0.024697760798019885,0.6400118914323407,3.300598365922869,,25.01142243524459,,,,,,,
2003-10-01,,17278.745,2.0618113824376114,12.320938063557094,1533.7223233694772,1674.712166513094,14980.686999999998,13073.283571111111,11766.553956888887,3214.133043111112,28.4499443181818,8.317943986759113,5.753614657168082,3.331383771779556,,25.071921507214288,,,,,,,
2003-10-31,,17192.48,-0.9935496725887228,12.298761756519935,1516.9549904757923,1702.821176264216,15064.321333333331,13098.709363333335,11797.58918872222,3266.732144611111,28.338114264354047,3.765895463678648,12.469903542442106,3.347783015021248,,25.09319291072306,,,,,,,
2003-11-01,,17473.275,1.136468302566346,13.807291613747797,1523.6714594904088,1736.4059623049855,15147.238833333333,13128.822211666667,11829.836890194445,3317.401943138888,28.2262842105263,-0.7861530594018173,19.18619242771613,3.36418225826294,,25.11446431423183,,,,,,,
2003-11-28,,17754.07,3.2664862777214143,15.315821470975656,1530.387928505025,1769.9907483457548,15230.156333333334,13158.93506,11862.08459166667,3368.071741666665,28.596447462405997,0.9183367938482734,13.017114277762964,3.39556244329069,,25.153407826136593,,,,,,,
2003-12-01,,18146.059999999998,3.841131245644114,15.66828360555721,1549.326751002257,1813.0380049822559,15327.459166666667,13193.531448888887,11895.143006111113,3432.3161605555533,28.9666107142857,2.622826647098364,6.848036127809798,3.42694262831844,,25.192351338041355,,,,,,,
2003-12-31,,18538.05,4.415776213566813,16.020745740138764,1568.265573499489,1856.085261618757,15424.762,13228.127837777776,11928.201420555555,3496.560579444442,29.483072462406,3.094368717310836,4.111664465662102,3.4776593154958366,,25.292510241550126,,,,,,,
2004-01-01,,18664.77,2.891455148624378,12.953647486885778,1579.9301822342104,1899.5709304601442,15527.788166666669,13264.757646666665,11961.229103555555,3566.559063111111,29.9995342105263,3.565910787523308,1.3752928035144052,3.5283760026732334,,25.392669145058896,,,,,,,
2004-01-30,,18791.49,1.3671340836819423,9.886549233632792,1591.594790968932,1943.0565993015312,15630.814333333336,13301.387455555556,11994.256786555556,3636.55754677778,29.8234006578947,1.195834435830923,-1.9651791689311637,3.5700024588897343,,25.469956930146616,,,,,,,
2004-02-01,,18556.04,-0.5693937398745852,8.389605959396341,1582.9820384291052,1973.9624408134619,15722.231833333335,13338.844294999999,12025.879625611113,3696.3522077222224,29.6472671052631,-1.1742419158614623,-5.305651141376733,3.6116289151062353,,25.54724471523433,,,,,,,
2004-02-27,,18320.59,-2.5059215634311127,6.892662685159889,1574.3692858892782,2004.8682823253928,15813.649333333333,13376.301134444444,12057.502464666668,3756.146868666665,30.928794965675003,3.7354624891769435,3.2192974589070564,3.709213994581565,,25.670916762335786,,,,,,,
2004-03-01,,18301.675,-1.3562052732958019,9.795088590068978,1574.3261110342523,2033.2546849209007,15893.324666666667,13413.23772888889,12088.668826500001,3804.655840166666,32.2103228260869,8.64516689421535,11.744246059190845,3.806799074056895,,25.794588809437236,,,,,,,
2004-03-31,,18282.76,-0.206488983160491,12.69751449497807,1574.2829361792265,2061.6410875164083,15973.0,13450.174323333336,12119.835188333333,3853.164811666667,32.2877637939958,4.563006271576175,22.70208491257464,3.8183522111338535,,25.99984222213564,,,,,,,
2004-04-01,,18000.235,-1.648552749195614,13.332517992824888,1556.5742958072813,2081.8164470276624,16041.778333333334,13483.285820000001,12150.427681583335,3891.35065175,32.3652047619047,0.4808456489370005,33.65992376595843,3.8299053482108114,,26.20509563483405,,,,,,,
