,retail_sales,oil_price_oil,oil_price_mom_oil,oil_price_yoy_oil,oil_volatility_1m_oil,oil_volatility_3m_oil,oil_price_30d_avg_oil,oil_price_90d_avg_oil,oil_price_180d_avg_oil,oil_momentum_oil,iip_durable_iip,iip_nondurable_iip,iip_combined_iip,iip_durable_yoy_iip,iip_nondurable_yoy_iip,iip_combined_yoy_iip,iip_durable_mom_iip,iip_nondurable_mom_iip,iip_combined_mom_iip,iip_durable_3m_avg_iip,iip_durable_6m_avg_iip,iip_nondurable_3m_avg_iip,iip_nondurable_6m_avg_iip,iip_combined_3m_avg_iip,iip_combined_6m_avg_iip,cpi_index_cpi,inflation_mom_cpi,inflation_yoy_cpi,cpi_3m_avg_cpi,cpi_6m_avg_cpi,lending_rate_lending,interest_rate_lending,rate_spread_lending,lending_rate_mom_lending,lending_rate_3m_avg_lending,lending_rate_6m_avg_lending,wpi_index_wpi,wpi_inflation_wpi,wpi_mom_wpi,wpi_3m_avg_wpi,wpi_6m_avg_wpi,interest_rate_repo,usd_inr_usd_inr,log_retail_sales
2015-11-01,2600.8,42.50400515,-8.936759028826181,-45.21370197336479,25.84350138329825,24.480701056484524,83.2429670947611,88.45323258732202,66.95283713131992,-0.0589041840547465,-4.5,5.3,0.3999999999999999,-147.36842105263156,-35.36585365853659,-95.48022598870055,-125.42372881355932,-65.359477124183,-97.57575757575758,3.4666666666666663,3.9500000000000006,7.399999999999999,2.833333333333334,5.433333333333334,3.3916666666666657,126.6,0.3965107057890549,5.412156536219825,126.03333333333336,124.91666666666669,14.0,6.58,7.6867,-0.3558718861210064,14.166666666666666,14.4,109.9,-3.6809815950920144,-0.1816530426884566,109.96666666666664,110.46666666666664,6.689130434782608,66.0222950819672,7.8635743689896955
2015-12-01,2850.3,35.6808883809523,-16.052879593272163,-41.70846560837227,27.01780167355901,24.7055077843066,81.06195909079284,87.40840517912098,67.02189762232523,-0.0726068171055487,5.2,5.4,5.300000000000001,-20.0,20.000000000000018,-3.6363636363636265,-215.5555555555556,1.8867924528301885,1225.0000000000005,6.133333333333333,3.533333333333333,8.666666666666666,3.75,7.400000000000001,3.6416666666666657,126.1,-0.3949447077409185,5.611390284757101,126.26666666666664,125.43333333333334,14.0,6.58,7.6867,-0.3558718861210064,14.166666666666666,14.4,109.4,-2.408563782337192,-0.4549590536851666,109.8,110.06666666666668,6.689130434782608,66.46,7.955179530880813
2016-01-01,2300.5,28.0787982,-21.305776077622983,-39.72775927968667,28.29235095489528,25.01471121705596,78.50259399456098,86.24848906733354,67.0444465012141,-0.0898090523849686,3.1,3.5,3.3,-1133.3333333333337,0.0,106.24999999999996,-40.38461538461539,-35.18518518518518,-37.73584905660379,1.2666666666666668,3.4166666666666674,4.733333333333333,5.433333333333334,3.0000000000000013,4.425,126.3,0.1586042823156219,5.690376569037658,126.33333333333331,125.88333333333333,14.0,6.58,7.6867,-0.3558718861210064,14.166666666666666,14.4,108.0,-2.527075812274371,-1.279707495429616,109.1,109.55,6.689130434782608,67.19,7.740881769595523
2016-02-01,2250.3,30.5255918947368,8.714025711886752,-45.90575019573719,29.01574434044732,25.528413687376933,75.9049570928066,85.33150247462956,67.07003312285153,-0.1104696988621011,6.7,1.4,4.05,191.304347826087,-85.41666666666666,-31.93277310924369,116.1290322580645,-60.00000000000001,22.72727272727273,5.0,4.233333333333333,3.433333333333333,5.416666666666667,4.216666666666668,4.824999999999999,126.0,-0.2375296912114022,5.263157894736836,126.13333333333333,126.08333333333331,14.0,6.58,7.6867,-0.3558718861210064,14.166666666666666,14.4,107.1,-2.2810218978102204,-0.8333333333333415,108.16666666666669,109.06666666666666,6.689130434782608,67.92,7.7188188196437
2016-03-01,2350.8,36.4213091428571,19.314014511007183,-33.99159624177851,29.16674647782508,26.01234635168717,73.47014368328281,84.66048489187344,67.1400403958674,-0.1321790351529723,2.2,-3.7,-0.75,-52.17391304347825,-148.6842105263158,-112.29508196721312,-67.16417910447761,-364.28571428571433,-118.5185185185185,4.000000000000001,5.066666666666667,0.3999999999999999,4.533333333333333,2.2000000000000006,4.8,126.0,0.0,4.825291181364388,126.1,126.18333333333332,14.0,6.58,7.6867,-0.3558718861210064,14.166666666666666,14.4,107.7,-2.0018198362147466,0.5602240896358524,107.6,108.7,6.689130434782608,67.75,7.762510974738495
2016-04-01,2300.2,39.8790945714285,9.493852664682546,-32.488764335758134,29.064342173249265,26.38853275953655,71.22032947960315,84.33556897970412,67.22370203237533,-0.1555125513323711,9.3,0.2,4.75,416.6666666666667,-96.49122807017544,26.66666666666666,322.72727272727275,-105.4054054054054,-733.3333333333333,6.066666666666667,3.6666666666666674,-0.7000000000000001,2.0166666666666666,2.6833333333333336,2.8416666666666663,127.3,1.031746031746028,5.468102734051361,126.43333333333332,126.38333333333333,14.0,6.58,7.6867,-0.3558718861210064,14.166666666666666,14.4,109.0,-1.0889292196007316,1.20705663881151,107.93333333333334,108.51666666666668,6.689130434782608,66.34,7.740751354658481
2016-05-01,2200.6,45.00680585,12.858143680737587,-29.480050188823093,28.653516012223392,26.47969390889706,69.16872952380952,84.27000420025968,67.3240176204309,-0.1792010670910068,9.9,11.3,10.6,-1000.0,169.0476190476191,583.8709677419356,6.451612903225801,5550.0,123.15789473684214,7.133333333333334,6.066666666666667,2.6,3.016666666666667,4.866666666666667,4.541666666666667,128.6,1.021209740769824,5.756578947368429,127.3,126.71666666666664,14.0,6.58,7.6867,-0.3558718861210064,14.166666666666666,14.4,110.4,-0.8976660682226245,1.2844036697247765,109.03333333333336,108.6,6.689130434782608,66.88098360655738,7.696485329435812
2016-06-01,2280.9,46.9631119318181,4.3466894503425335,-23.940790554357992,27.923221665280327,26.37026500335772,67.11021926320345,84.34057840783544,67.43697935338544,-0.2042950080483589,4.5,11.4,7.95,-41.55844155844156,-6823.0,109.21052631578948,-54.54545454545454,0.8849557522123908,-25.00000000000001,7.900000000000001,5.95,7.633333333333333,4.016666666666667,7.766666666666667,4.9833333333333325,130.1,1.1664074650077794,5.772357723577226,128.66666666666666,127.38333333333333,14.0,6.58,7.6867,-0.3558718861210064,14.166666666666666,14.4,111.7,-0.0894454382826426,1.1775362318840576,110.36666666666667,108.98333333333336,6.689130434782608,67.44,7.732325380902501
2016-07-01,2320.4,43.519136675,-7.333362537427512,-22.701397318400407,27.280620994368984,26.37833813597005,65.05102386665585,84.33539039720678,67.54547455713544,-0.2286628002754775,0.2,14.5,7.35,-94.73684210526316,-319.69696969696975,-625.0,-95.55555555555556,27.192982456140346,-7.547169811320764,4.866666666666667,5.466666666666668,12.4,5.8500000000000005,8.633333333333335,5.658333333333332,131.1,0.768639508070712,6.067961165048552,129.93333333333334,128.18333333333334,14.0,6.58,7.6867,-0.3558718861210064,14.166666666666666,14.4,111.8,0.6300630063006407,0.0895255147717044,111.3,109.61666666666667,6.689130434782608,67.24,7.749494863591909
2016-08-01,2380.7,44.3849789285714,1.9895667049590005,-6.217227932133596,26.385882017371767,26.35816160920291,62.99091467260826,84.34836762974646,67.65311332896084,-0.2532052908348903,7.3,11.3,9.3,305.55555555555554,653.3333333333334,463.6363636363637,1121.4909090909146,-22.06896551724138,26.530612244897966,4.000000000000001,5.566666666666667,12.4,7.5,8.200000000000001,6.533333333333334,131.1,0.0,5.048076923076916,130.76666666666665,129.03333333333333,14.0,6.58,7.6867,-0.3558718861210064,14.166666666666666,14.4,111.2,1.090909090909098,-0.5366726296958779,111.56666666666666,110.3,6.689130434782608,66.63,7.775149841068463
