date,gold_price,gold_price_mom,gold_price_yoy,gold_volatility_1m,gold_volatility_3m,gold_price_30d_avg,gold_price_90d_avg,gold_price_180d_avg,gold_trend
1986-06-30,5825.51112,4.458870043510266,36.958800825965184,647.9710000522878,583.0584842072984,4437.030449333334,4236.226107777778,5690.581896166667,4485.569818166668
1986-07-31,5759.6718200000005,-1.1301892425191973,34.12634448625376,683.1021272231425,602.2141127608176,4498.727900666667,4258.758398666667,5690.581896166667,4485.569818166668
1986-08-29,5839.144990000001,1.3798211509905125,34.36048410258683,712.5066184120985,614.1000508618304,4566.256668666667,4264.104244111111,5690.581896166667,4485.569818166668
1986-09-30,6003.643040000001,2.8171598801145725,27.675600376457865,746.2823871578383,631.905293722051,4637.392837333334,4272.069846,5690.581896166667,4485.569818166668
1986-10-31,5946.91977,-0.9448141673659594,12.986243485633908,768.1305650977758,655.6839353643875,4707.071097666666,4288.019504777778,5690.581896166667,4485.569818166668
1986-11-28,6027.928540000001,1.3621971227636198,10.988234271778218,792.7893750001997,680.6840096613564,4774.483201666667,4308.724922,5690.581896166667,4485.569818166668
1986-12-31,6028.09925,0.0028319844680657,16.186215983720498,807.6348109213274,703.7949596445314,4844.829940333334,4330.666638444445,5690.581896166667,4485.569818166668
1987-01-30,6263.588210000001,3.906520948539472,22.641138754760902,827.7571874802678,731.6964628692081,4923.282730333333,4347.916274333334,5690.581896166667,4485.569818166668
1987-02-27,6205.00614,-0.9352797156504056,17.3552992530124,831.6927202462807,754.3148872142822,5003.433744333334,4361.167105888889,5690.581896166667,4485.569818166668
1987-03-31,5745.371550000001,-7.407480019028634,10.200228250288902,816.2486500816445,766.5165231080374,5064.332641666667,4370.926316888889,5690.581896166667,4485.569818166668
1987-04-30,5730.2502700000005,-0.2631906373400716,9.158323785413325,794.0075871810426,774.8183325085695,5125.540638333334,4376.694367666667,5690.581896166667,4485.569818166668
1987-05-29,5929.52695,3.477626117715804,6.324006997954523,772.2980644521458,788.2088662359611,5193.104497000001,4385.774641666668,5690.581896166667,4485.569818166668
