,cpi_index_cpi,cpi_6m_avg_cpi,cpi_3m_avg_cpi,gdp_growth_macro,iip_durable_yoy_iip,iip_combined_yoy_iip,iip_nondurable_mom_iip,unemployment_macro,iip_combined_mom_iip,inflation_mom_cpi,interest_rate_macro,inflation_macro,log_retail_sales
63,151.4,149.71666666666667,149.70000000000002,1.57,-3095.5,-1992.1052631578948,115.69506726457396,9.464999999999996,143.3164128595601,1.8842530282638048,4.4,4.5,7.696303544305335
64,150.9,150.1,150.29999999999998,1.57,-3095.5,-1063.8554216867471,-79.83367983367984,9.464999999999996,-44.36717663421419,-0.3302509907529671,4.0,4.4,7.740925237461909
65,151.8,150.33333333333334,151.36666666666667,2.5,241.17647058823528,896.4285714285717,-171.13402061855672,9.0,-65.125,0.5964214711729587,4.0,4.5,7.855893454295412
66,153.9,150.95000000000002,152.20000000000002,3.5,887.5,-459.0163934426229,-73.91304347826086,8.5,-21.505376344086024,1.383399209486158,4.0,4.6,7.908534207301484
67,154.7,151.88333333333333,153.46666666666667,4.5,5.154639175257736,100.0,-266.66666666666663,8.0,-39.72602739726028,0.5198180636777128,4.0,4.7,7.965788599152331
68,156.4,153.18333333333334,155.0,5.5,-150.47619047619048,-166.3793103448276,-179.99999999999997,7.5,-158.33333333333331,1.0989010989011172,4.0,4.9,8.022962441222083
69,158.4,154.35,156.5,6.5,-195.76719576719577,-214.41441441441444,204.16666666666663,7.0,229.87012987012992,1.278772378516635,4.0,5.1,8.05531644938211
70,158.9,155.68333333333334,157.9,7.5,128.5714285714286,1183.8750000000005,-109.5890410958904,6.5,-115.3543307086614,0.3156565656565746,4.0,5.3,8.101920142316988
71,157.3,156.6,158.20000000000002,8.5,-216.07142857142856,-195.45454545454547,-371.4285714285714,6.0,-315.38461538461536,-1.0069225928256764,4.0,5.5,8.174787385941196
72,156.3,157.0,157.50000000000003,9.5,-97.2972972972973,27.906976744186053,-384.2105263157896,5.8,-165.47619047619045,-0.6357279084551859,4.0,5.7,8.071062326582059
73,156.6,157.31666666666666,156.73333333333335,10.5,-206.4516129032258,-143.07692307692307,-29.62962962962964,5.6,-150.9090909090909,0.1919385796544936,4.0,5.9,8.055252965380058
74,156.8,157.38333333333333,156.5666666666667,11.429999999999993,-262.77173913043475,-250.76142131979697,-868.421052631579,5.4,2455.33333333334,0.1277139208173849,4.0,6.1,8.08665639887905
75,157.8,157.28333333333333,157.0666666666667,11.429999999999993,-162.5914315569488,-161.96105702364397,0.0,5.2,0.0,0.6377551020408267,4.0,6.3,8.070968586834773
76,160.4,157.53333333333333,158.33333333333334,10.0,-214.3669985775249,-200.75000000000003,-99.31506849315068,5.0,-9.539842873176196,1.6476552598225558,4.0,6.5,8.039350920132263
77,161.3,158.20000000000002,159.83333333333334,9.0,-180.45977011494253,-186.3799283154122,-2050.0,4.8,-70.09925558312655,0.5610972568578676,4.0,6.3,8.064919454599861
78,162.5,159.23333333333335,161.4,8.5,-181.85654008438817,-178.08219178082192,-41.02564102564102,4.6,-29.04564315352697,0.7439553626782391,4.0,6.1,8.077260854425825
79,162.9,160.28333333333333,162.23333333333335,8.0,-208.82352941176472,-228.7878787878788,-356.5217391304348,4.4,-0.5847953216374102,0.2461538461538515,4.0,5.9,8.095812093242673
80,163.2,161.35000000000002,162.86666666666667,7.5,-69.81132075471697,-80.51948051948052,-101.69491525423727,4.2,-91.17647058823528,0.1841620626150897,4.0,5.7,8.116775324529586
81,165.5,162.63333333333333,163.86666666666667,7.0,-117.67955801104972,-109.84251968503938,-799.9999999999999,4.0,-266.6666666666667,1.4093137254902022,4.0,5.5,8.174843717622148
82,166.7,163.68333333333334,165.13333333333333,6.5,78.125,66.66666666666666,-214.2857142857144,3.9,160.0,0.7250755287008914,4.0,5.3,8.216304291477174
83,166.2,164.5,166.13333333333333,6.3,-129.23076923076923,-119.04761904761904,-137.5,3.8,-75.38461538461539,-0.2999400119976014,4.0,5.2,8.28154680437825
84,165.7,165.03333333333333,166.19999999999996,6.1,1035.6666666666663,-76.36363636363636,933.3333333333334,3.7,-18.74999999999998,-0.300842358604092,4.0,5.1,8.131677758615693
85,166.1,165.56666666666666,166.0,5.9,-246.96969696969697,-689.2857142857143,-319.3548387096774,3.6,1169.230769230769,0.2414001207000637,4.0,5.3,8.116805173048355
86,167.7,166.31666666666666,166.49999999999997,5.7,-105.17529215358933,-108.41750841750842,-35.29411764705882,3.5,-54.54545454545454,0.9632751354605728,4.0,5.5,8.146361367202424
87,170.1,167.08333333333331,167.96666666666667,5.5,-87.97996661101837,-92.81705948372615,-81.81818181818181,3.4,-185.3333333333333,1.4311270125223707,4.4,5.7,8.131589532403629
88,171.7,167.91666666666666,169.83333333333334,5.3,-26.49253731343284,-24.937965260545912,-275.0,3.3,845.3125,0.9406231628453776,4.4,5.9,8.101859549109466
89,172.6,168.98333333333332,171.46666666666667,5.1,-9.999999999999998,16.597510373443967,107.14285714285715,3.3,-53.55371900826447,0.5241700640652436,4.9,6.1,8.125897225222266
90,173.4,170.26666666666665,172.56666666666663,4.9,-88.14432989690721,-103.50877192982458,-200.0,3.3,-102.13523131672598,0.4634994206257348,4.9,6.3,8.1375127822818
91,174.3,171.63333333333333,173.43333333333337,4.7,-139.63963963963965,-178.8235294117647,210.3448275862069,3.4,2133.333333333333,0.519031141868509,5.4,6.5,8.154988701965975
92,175.3,172.9,174.33333333333334,4.5,-443.75,-846.6666666666665,-36.66666666666667,3.5,-16.417910447761198,0.5737234652897216,5.4,6.7,8.174759218910703
93,176.7,174.0,175.43333333333337,4.3,465.625,1144.0000000000002,128.0701754385965,3.6,177.67857142857144,0.7986309184255358,5.9,6.9,8.229644443409692
94,176.5,174.79999999999998,176.16666666666666,4.1,-187.71929824561403,-330.7692307692308,-176.9230769230769,3.7,-148.2315112540193,-0.1131861912846532,5.9,7.0,8.268936939286952
95,175.7,175.3166666666667,176.29999999999998,4.0,489.4736842105263,106.24999999999996,-21.0,3.8,-122.0,-0.4532577903682777,6.25,6.8,8.330935899768635
