date,iip_durable,iip_nondurable,iip_combined,iip_durable_yoy,iip_nondurable_yoy,iip_combined_yoy,iip_durable_mom,iip_nondurable_mom,iip_combined_mom,iip_durable_3m_avg,iip_durable_6m_avg,iip_nondurable_3m_avg,iip_nondurable_6m_avg,iip_combined_3m_avg,iip_combined_6m_avg
2017-11-01,3.1,23.7,13.4,-54.41176470588235,618.1818181818181,165.34653465346537,-134.44444444444446,189.02439024390247,-1767.3040125990651,-3.3333333333333326,-1.9333333333333325,14.133333333333333,9.749999999999998,5.4,3.9083333333333328
2017-12-01,2.1,16.8,9.45,-142.0,-4564.101075217696,-463.4615384615385,-32.258064516129025,-29.11392405063291,-29.477611940298495,-1.2666666666666655,-0.999999999999999,16.233333333333334,11.75,7.483333333333334,5.375
2018-01-01,7.6,10.7,9.15,-480.0,11.458333333333323,140.7894736842105,261.90476190476187,-36.30952380952381,-3.1746031746031966,4.266666666666668,0.6666666666666675,17.066666666666666,12.85,10.666666666666666,6.758333333333333
2018-02-01,7.5,7.4,7.45,-263.0434782608696,-28.846153846153843,156.8965517241379,-1.3157894736842035,-30.84112149532709,-18.579234972677583,5.733333333333334,1.2000000000000008,11.633333333333333,12.883333333333333,8.683333333333334,7.041666666666667
2018-03-01,6.2,14.1,10.15,-1133.3333333333337,87.99999999999999,194.20289855072463,-17.333333333333336,90.54054054054052,36.24161073825503,7.1000000000000005,2.9166666666666674,10.733333333333334,13.483333333333334,8.916666666666666,8.2
2018-04-01,3.9,7.5,5.7,-657.1428571428572,-14.772727272727282,40.74074074074072,-37.096774193548384,-46.80851063829788,-43.84236453201971,5.866666666666668,5.066666666666667,9.666666666666666,13.366666666666664,7.766666666666667,9.216666666666669
2018-05-01,6.7,-1.6,2.55,1016.6666666666669,-116.49484536082475,-50.48543689320388,71.79487179487181,-121.33333333333334,-55.26315789473685,5.600000000000001,5.666666666666667,6.666666666666667,9.15,6.133333333333333,7.408333333333332
2018-06-01,13.6,0.2,6.9,-488.5714285714286,-95.83333333333334,961.5384615384615,102.98507462686568,-112.5,170.58823529411765,8.066666666666668,7.583333333333335,2.033333333333333,6.383333333333333,5.05,6.983333333333333
2018-07-01,14.1,5.3,9.7,-687.5,29.268292682926838,1041.1764705882354,3.6764705882353033,2549.9999999999995,40.57971014492754,11.466666666666669,8.666666666666666,1.2999999999999998,5.483333333333333,6.383333333333333,7.075
2018-08-01,5.5,6.5,6.0,27.906976744186053,-9.72222222222222,4.347826086956519,-60.99290780141844,22.64150943396226,-38.144329896907216,11.066666666666668,8.333333333333334,4.0,5.333333333333333,7.533333333333332,6.833333333333333
