date,lending_rate,interest_rate,rate_spread,lending_rate_mom,lending_rate_3m_avg,lending_rate_6m_avg
2021-12-15,12.3,,,0.819672131147553,12.25,12.183333333333335
2022-03-15,12.3,,,0.0,12.266666666666667,12.208333333333334
2022-06-15,12.75,4.9,7.85,3.658536585365857,12.450000000000001,12.325000000000001
2022-09-15,13.45,5.9,7.549999999999999,5.490196078431375,12.833333333333334,12.541666666666666
2022-12-15,14.15,6.25,7.9,5.204460966542768,13.449999999999998,12.858333333333334
2023-03-15,14.85,6.5,8.35,4.946996466431086,14.149999999999999,13.299999999999999
2023-06-15,14.85,6.5,8.35,0.0,14.616666666666667,13.725
2023-09-15,14.85,6.5,8.35,0.0,14.85,14.15
2023-12-15,15.0,6.5,8.5,1.0101010101010166,14.899999999999999,14.525
2024-03-15,15.0,,,0.0,14.950000000000001,14.783333333333333
2024-06-15,15.15,,,1.0000000000000009,15.049999999999999,14.949999999999998
