date,oil_price,oil_price_mom,oil_price_yoy,oil_volatility_1m,oil_volatility_3m,oil_price_30d_avg,oil_price_90d_avg,oil_price_180d_avg,oil_momentum
2014-11-01,77.58145135,-10.648898442204736,-27.191034044208763,7.3810824981251875,20.968568607706597,104.24363085964052,92.96563033319481,,0.12131365630528856
2014-12-01,61.2110982380952,-21.10085958311323,-43.69758282096885,10.667359762031529,21.072662857035837,103.13374737985775,92.88909530568158,,0.11028907150471046
2015-01-01,46.5866174285714,-23.891877830125484,-55.756096623175445,14.848010792462558,21.5273118229983,101.34202996081011,92.6003348124637,,0.094402414052285
2015-02-01,56.4303821666666,21.130026779016696,-46.858169672793196,16.854802970701414,21.72182245453078,99.55409993303235,92.46086865219432,,0.07671603548870287
2015-03-01,55.1767760909091,-2.2215091013471855,-47.59805760180886,18.52470968264791,21.997611151581758,97.66762981939597,92.24309278375998,65.85509668479875,0.05880697266246715
2015-04-01,59.0703075999999,7.056467928963128,-44.03854130759267,19.65992963149739,22.23361634166113,95.97702060303233,92.01801659767304,66.05820950479877,0.043024226686705136
2015-05-01,63.821381,8.04308220666876,-40.271919600684654,20.37300306753492,22.42970822785082,94.50870839827044,91.73706512465716,66.26499495479877,0.030212905436281634
2015-06-01,61.7454641904761,-3.2526980409964823,-43.380792533625346,21.072863645344142,22.648385601938056,92.9908583098828,91.44622289344022,66.44974753363475,0.016891188805496116
2015-07-01,56.3000302272727,-8.81916434607245,-47.034744952609266,21.857965943040178,22.948836355319994,91.21581809018586,91.07713929495536,66.61108103489737,0.0015226520760758255
2015-08-01,47.3274333333333,-15.93710848416724,-53.551369233384015,22.877991829977244,23.406898170682613,89.03754673833403,90.57661925012107,66.71662872639568,-0.016991940354243007
2015-09-01,46.1048685999999,-2.5832052305112874,-52.44915492054216,23.923241074765798,23.849479929945915,87.02605335833404,89.98045312900996,66.79865577417347,-0.03283379520705498
2015-10-01,46.6752607272727,1.2371624615644228,-46.24377491129371,24.853624888532096,24.220860992569943,85.19606858098918,89.32439876840388,66.88851833376943,-0.04621727371620432
2015-11-01,42.50400515,-8.936759028826181,-45.21370197336479,25.84350138329825,24.480701056484524,83.2429670947611,88.45323258732202,66.95283713131992,-0.05890418405474651
2015-12-01,35.6808883809523,-16.052879593272163,-41.70846560837227,27.01780167355901,24.705507784306597,81.06195909079284,87.40840517912098,67.02189762232523,-0.07260681710554873
2016-01-01,28.0787982,-21.305776077622983,-39.72775927968667,28.29235095489528,25.01471121705596,78.50259399456098,86.24848906733354,67.0444465012141,-0.08980905238496861
2016-02-01,30.5255918947368,8.714025711886752,-45.90575019573719,29.01574434044732,25.528413687376933,75.9049570928066,85.33150247462956,67.07003312285153,-0.11046969886210112
2016-03-01,36.4213091428571,19.314014511007183,-33.99159624177851,29.16674647782508,26.012346351687174,73.47014368328281,84.66048489187344,67.1400403958674,-0.13217903515297236
2016-04-01,39.8790945714285,9.493852664682546,-32.488764335758134,29.064342173249262,26.38853275953655,71.22032947960315,84.33556897970412,67.22370203237533,-0.15551255133237118
2016-05-01,45.00680585,12.858143680737587,-29.480050188823093,28.653516012223392,26.47969390889706,69.16872952380952,84.27000420025968,67.3240176204309,-0.1792010670910068
2016-06-01,46.9631119318181,4.3466894503425335,-23.940790554357992,27.923221665280327,26.370265003357716,67.11021926320345,84.34057840783544,67.43697935338544,-0.20429500804835898
2016-07-01,43.519136675,-7.333362537427512,-22.701397318400407,27.280620994368984,26.378338135970054,65.05102386665585,84.33539039720678,67.54547455713544,-0.22866280027547758
2016-08-01,44.3849789285714,1.9895667049590005,-6.2172279321335955,26.385882017371767,26.35816160920291,62.99091467260826,84.34836762974646,67.65311332896084,-0.2532052908348903
2016-09-01,44.4808601666666,0.2160218173123507,-3.5224228647585787,25.339018999579977,26.383824610907148,60.963767082925756,84.33124649775992,67.76250699655344,-0.277091592799531
